YEAR,MO,DY,HR,WS50M,recalculated wind speeds for 140m,cut in/out wind speeds applied
2020,1,18,22,7.03,7.612355668,7.612355668
2020,1,18,23,6.9,7.471586644,7.471586644
2020,1,19,0,6.6,7.146735051,7.146735051
2020,1,19,1,6.54,7.081764733,7.081764733
2020,1,19,2,6.53,7.070936346,7.070936346
2020,1,19,3,7.02,7.601527282,7.601527282
2020,1,19,4,7.03,7.612355668,7.612355668
2020,1,19,5,6.75,7.309160848,7.309160848
2020,1,19,6,6.75,7.309160848,7.309160848
2020,1,19,7,6.69,7.244190529,7.244190529
2020,1,19,8,6.52,7.06010796,7.06010796
2020,1,19,9,6.3,6.821883458,6.821883458
2020,1,19,10,5.77,6.247978977,6.247978977
2020,1,19,11,5.33,5.771529973,5.771529973
2020,1,19,12,5.36,5.804015132,5.804015132
2020,1,19,13,5.78,6.258807363,6.258807363
2020,1,19,14,6.03,6.529517024,6.529517024
2020,1,19,15,6.54,7.081764733,7.081764733
2020,1,19,16,6.85,7.417444712,7.417444712
2020,1,19,17,6.64,7.190048597,7.190048597
2020,1,19,18,6.13,6.637800888,6.637800888
2020,1,19,19,5.51,5.966440929,5.966440929
2020,1,19,20,4.84,5.240939038,5.240939038
2020,1,19,21,4.34,4.699519715,4.699519715
2020,1,19,22,4.02,4.353011349,4.353011349
2020,1,19,23,3.53,3.822420414,3.822420414
2020,1,20,0,3.17,3.432598502,3.432598502
2020,1,20,1,2.67,2.89117918,2.89117918
2020,1,20,2,2.26,2.447215336,2.447215336
2020,1,20,3,2.34,2.533842427,2.533842427
2020,1,20,4,2.6,2.815380475,2.815380475
2020,1,20,5,2.82,3.053604976,3.053604976
2020,1,20,6,2.88,3.118575295,3.118575295
2020,1,20,7,2.64,2.85869402,2.85869402
2020,1,20,8,2.23,2.414730176,2.414730176
2020,1,20,9,1.68,1.819168922,1.819168922
2020,1,20,10,1.14,1.234436054,0
2020,1,20,11,1.23,1.331891532,0
2020,1,20,12,1.59,1.721713444,1.721713444
2020,1,20,13,1.88,2.035736651,2.035736651
2020,1,20,14,2.09,2.263132766,2.263132766
2020,1,20,15,2.37,2.566327587,2.566327587
2020,1,20,16,2.57,2.782895315,2.782895315
2020,1,20,17,2.85,3.086090136,3.086090136
2020,1,20,18,3.1,3.356799797,3.356799797
2020,1,20,19,3.17,3.432598502,3.432598502
2020,1,20,20,3.21,3.475912048,3.475912048
2020,1,20,21,3.42,3.703308163,3.703308163
2020,1,20,22,3.53,3.822420414,3.822420414
2020,1,20,23,3.17,3.432598502,3.432598502
2020,1,21,0,2.44,2.642126292,2.642126292
2020,1,21,1,1.79,1.938281173,1.938281173
2020,1,21,2,1.3,1.407690237,0
2020,1,21,3,1.01,1.093667031,0
2020,1,21,4,0.76,0.82295737,0
2020,1,21,5,0.49,0.530590936,0
2020,1,21,6,0.65,0.703845119,0
2020,1,21,7,1.22,1.321063146,0
2020,1,21,8,1.69,1.829997309,1.829997309
2020,1,21,9,1.81,1.959937946,1.959937946
2020,1,21,10,1.79,1.938281173,1.938281173
2020,1,21,11,1.73,1.873310854,1.873310854
2020,1,21,12,1.8,1.949109559,1.949109559
2020,1,21,13,2.04,2.208990834,2.208990834
2020,1,21,14,2.06,2.230647607,2.230647607
2020,1,21,15,1.85,2.003251492,2.003251492
2020,1,21,16,1.72,1.862482468,1.862482468
2020,1,21,17,1.74,1.884139241,1.884139241
2020,1,21,18,1.92,2.079050197,2.079050197
2020,1,21,19,2.26,2.447215336,2.447215336
2020,1,21,20,2.76,2.988634658,2.988634658
2020,1,21,21,3.18,3.443426888,3.443426888
2020,1,21,22,3.4,3.68165139,3.68165139
2020,1,21,23,3.51,3.800763641,3.800763641
2020,1,22,0,3.47,3.757450095,3.757450095
2020,1,22,1,3.25,3.519225593,3.519225593
2020,1,22,2,3.01,3.259344319,3.259344319
2020,1,22,3,2.87,3.107746909,3.107746909
2020,1,22,4,3.02,3.270172705,3.270172705
2020,1,22,5,3.27,3.540882366,3.540882366
2020,1,22,6,3.47,3.757450095,3.757450095
2020,1,22,7,3.55,3.844077187,3.844077187
2020,1,22,8,3.65,3.952361051,3.952361051
2020,1,22,9,3.65,3.952361051,3.952361051
2020,1,22,10,3.73,4.038988143,4.038988143
2020,1,22,11,3.77,4.082301688,4.082301688
2020,1,22,12,3.88,4.201413939,4.201413939
2020,1,22,13,3.74,4.049816529,4.049816529
2020,1,22,14,3.65,3.952361051,3.952361051
2020,1,22,15,3.81,4.125615234,4.125615234
2020,1,22,16,4.28,4.634549397,4.634549397
2020,1,22,17,5.13,5.554962244,5.554962244
2020,1,22,18,5.79,6.269635749,6.269635749
2020,1,22,19,6.11,6.616144116,6.616144116
2020,1,22,20,6.1,6.605315729,6.605315729
2020,1,22,21,6.01,6.507860251,6.507860251
2020,1,22,22,5.88,6.367091227,6.367091227
2020,1,22,23,5.87,6.356262841,6.356262841
2020,1,23,0,5.77,6.247978977,6.247978977
2020,1,23,1,5.8,6.280464136,6.280464136
2020,1,23,2,5.78,6.258807363,6.258807363
2020,1,23,3,5.73,6.204665431,6.204665431
2020,1,23,4,5.73,6.204665431,6.204665431
2020,1,23,5,5.76,6.23715059,6.23715059
2020,1,23,6,5.75,6.226322204,6.226322204
2020,1,23,7,5.64,6.107209953,6.107209953
2020,1,23,8,5.28,5.717388041,5.717388041
2020,1,23,9,4.88,5.284252583,5.284252583
2020,1,23,10,4.71,5.100170014,5.100170014
2020,1,23,11,4.33,4.688691329,4.688691329
2020,1,23,12,3.97,4.298869417,4.298869417
2020,1,23,13,3.82,4.136443621,4.136443621
2020,1,23,14,3.9,4.223070712,4.223070712
2020,1,23,15,3.98,4.309697804,4.309697804
2020,1,23,16,4.19,4.537093919,4.537093919
2020,1,23,17,4.34,4.699519715,4.699519715
2020,1,23,18,4.37,4.732004875,4.732004875
2020,1,23,19,4.31,4.667034556,4.667034556
2020,1,23,20,4.22,4.569579078,4.569579078
2020,1,23,21,4.24,4.591235851,4.591235851
