ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
40.78,86.39,0,0
146.67,79.58,79.58,810.9476979
237.45,74.41,74.41,883.5292523
300.22,71.32,71.32,937.3604777
318.16,70.61,70.61,958.323346
280.3,72.34,72.34,923.9606319
188.09,76.35,76.35,797.0245565
90.64,82.27,82.27,673.8780709
11.73,88.81,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25.84,86.24,0,0
55.46,79.41,79.41,301.7741996
84.03,74.22,74.22,308.9970395
99.48,71.11,71.11,307.2719576
89.41,70.38,70.38,266.2752288
80.65,72.12,72.12,262.6826797
57.67,76.12,76.12,240.4026687
24.6,82.04,82.04,177.6407623
7.41,88.69,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19.31,86.09,0,0
16.22,79.23,79.23,86.79971894
44.84,74.02,74.02,162.8757994
60.33,70.89,70.89,184.2796767
61.09,70.15,70.15,179.909896
71.99,71.88,71.88,231.4729941
58.9,75.88,75.88,241.439409
28.34,81.8,81.8,198.697412
8.93,88.55,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27.4,85.91,0,0
40.06,79.04,79.04,210.7049875
70.68,73.81,73.81,253.4936986
104.91,70.66,70.66,316.7828707
99.13,69.91,69.91,288.591604
98.59,71.63,71.63,312.8330104
74.87,75.64,75.64,301.8785726
41.22,81.57,81.57,281.1713612
12.45,88.41,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
